PM,Avg
14.66,0.076810815
14.66,0.0817661488
14.85,0.0800961153
14.53,0.0771843161
14.86,0.078845699
14.7,0.0803083842
14.44,0.0776638708
14.85,0.0651465798
15.16,0.0619434766
14.84,0.0599680171
14.66,0.0622665006
14.72,0.0596353723
14.63,0.0611140213
14.39,0.0551800248
15.66,0.0570504897
14.84,0.0586756077
14.81,0.0608149199
14.77,0.0636884724
14.45,0.0637697003
14.59,0.0627577551
15.52,0.0637145588
14.83,0.0624275395
15.26,0.0579854208
14.94,0.0579758158
14.79,0.0599315068
15.17,0.0573347531
14.61,0.0572737686
14.98,0.0649087221
14.97,0.0608378237
15.12,0.0485908649
15.78,0.0565062964
15.48,0.0505561173
15.55,0.0525946704
15.42,0.0525072197
15.23,0.0505203597
14.81,0.0493131384
15.01,0.0533862111
14.91,0.0556792873
15.39,0.0525486075
15.34,0.053667263
15.5,0.0504922999
15.09,0.0498173364
14.98,0.0501966034
14.97,0.0546796683
15.16,0.055238446
15.14,0.0531773465
15.24,0.0552537066
15.22,0.0553046364
15.88,0.0533807829
16.05,0.0541174348
16.61,0.0541076743
16.14,0.0531874478
15.75,0.0469351356
16.61,0.0480815463
15.87,0.05176749
15.69,0.052042675
15.78,0.0496594779
15.42,0.0502680965
15.98,0.051450254
15.83,0.0523514528
15.75,0.0492651285
15.75,0.0503144654
16.09,0.0528076043
16,0.0504965494
15.57,0.0526949714
16.31,0.0408371618
16.78,0.0404694456
15.97,0.0448480771
15.85,0.0478125747
16.42,0.0493924726
16.33,0.0408413314
16.65,0.0479386385
16.18,0.0427031067
16.14,0.0407249033
15.92,0.0403918005
15.89,0.0434971727
16.27,0.0425531915
15.87,0.0461254613
16.05,0.0488233571
15.93,0.0433416405
16.26,0.049776008
15.9,0.0412541254
16.17,0.0491279784
15.03,0.0544899738
14.99,0.0626174076
14.95,0.0596243665
15.02,0.0619030775
14.89,0.0566572238
14.69,0.0598623167
15.04,0.0579094682
14.92,0.0634719137
15.37,0.0546328671
15.23,0.0627024767
14.96,0.0543832935
15.27,0.05709066
14.94,0.0610873549
14.93,0.0564599605
15.12,0.0618365454
14.94,0.0582139946
16.5,0.0499850045
15.58,0.0509683996
15.67,0.0437764483
